hpchub_mpirun /enc/uprod_xwKwp/work/shared/tests/osu/osu-micro-benchmarks-5.4/mpi/collective/osu_allreduce | tee -a ../../../runs/run/osu/rescale/mercury-2-nodes-56gbps/2018-02-28_09:33:10/osu_allreduce.1.16.out
Using default -machinefile setting (/enc/uprod_xwKwp/hosts)

# OSU MPI Allreduce Latency Test v5.4.0
# Size       Avg Latency(us)
4                       4.20
8                       4.18
16                      4.61
32                      4.98
64                      3.76
128                     3.96
256                     4.08
512                     4.71
1024                    5.67
2048                    7.06
4096                    9.38
8192                   20.65
16384                  30.76
32768                  43.15
65536                  72.60
131072                130.96
262144                256.98
524288                473.44
1048576              3126.70
