hpchub_mpirun /enc/uprod_xwKwp/work/shared/tests/osu/osu-micro-benchmarks-5.4/mpi/collective/osu_alltoall | tee -a ../../../runs/run/osu/rescale/mercury-2-nodes-56gbps/2018-02-28_09:33:10/osu_alltoall.1.2.out
Using default -machinefile setting (/enc/uprod_xwKwp/hosts)

# OSU MPI All-to-All Personalized Exchange Latency Test v5.4.0
# Size       Avg Latency(us)
1                       1.08
2                       1.15
4                       1.05
8                       1.09
16                      1.07
32                      1.28
64                      1.30
128                     1.11
256                     1.27
512                     1.41
1024                    1.48
2048                    2.24
4096                    3.08
8192                    3.88
16384                   6.13
32768                   9.84
65536                  20.35
131072                 43.40
262144                 77.29
524288                233.55
1048576               454.39
