hpchub_mpirun /enc/uprod_xwKwp/work/shared/tests/osu/osu-micro-benchmarks-5.4/mpi/collective/osu_allreduce | tee -a ../../../runs/run/osu/rescale/mercury-2-nodes-56gbps/2018-02-28_09:33:10/osu_allreduce.2.8.out
Using default -machinefile setting (/enc/uprod_xwKwp/hosts)

# OSU MPI Allreduce Latency Test v5.4.0
# Size       Avg Latency(us)
4                       4.05
8                       3.66
16                      4.08
32                      4.43
64                      3.37
128                     3.59
256                     3.68
512                     6.34
1024                    6.55
2048                    6.35
4096                    8.25
8192                   18.87
16384                  26.54
32768                  40.38
65536                  64.42
131072                121.69
262144                236.79
524288                459.76
1048576              3204.84
