hpchub_mpirun /enc/uprod_xwKwp/work/shared/tests/osu/osu-micro-benchmarks-5.4/mpi/collective/osu_allreduce | tee -a ../../../runs/run/osu/rescale/mercury-2-nodes-56gbps/2018-02-28_09:33:10/osu_allreduce.1.4.out
Using default -machinefile setting (/enc/uprod_xwKwp/hosts)

# OSU MPI Allreduce Latency Test v5.4.0
# Size       Avg Latency(us)
4                       1.60
8                       1.77
16                      1.57
32                      1.66
64                      1.60
128                     1.70
256                     2.00
512                     2.14
1024                    2.30
2048                    2.97
4096                    4.01
8192                    7.18
16384                  10.47
32768                  17.27
65536                  32.58
131072                 62.05
262144                125.12
524288                258.44
1048576              1018.76
