hpchub_mpirun /enc/uprod_xwKwp/work/shared/tests/osu/osu-micro-benchmarks-5.4/mpi/collective/osu_alltoall | tee -a ../../../runs/run/osu/rescale/mercury-2-nodes-56gbps/2018-02-28_09:33:10/osu_alltoall.2.8.out
Using default -machinefile setting (/enc/uprod_xwKwp/hosts)

# OSU MPI All-to-All Personalized Exchange Latency Test v5.4.0
# Size       Avg Latency(us)
1                       7.42
2                       7.10
4                      12.42
8                      10.53
16                      8.91
32                     10.92
64                     11.41
128                    12.95
256                    14.62
512                    19.54
1024                  107.38
2048                  183.65
4096                  353.36
8192                   66.26
16384                1378.50
32768                 311.37
65536                 660.30
131072               1777.07
262144               2961.87
524288              22054.74
1048576             43859.29
