hpchub_mpirun /enc/uprod_xwKwp/work/shared/tests/osu/osu-micro-benchmarks-5.4/mpi/collective/osu_alltoall | tee -a ../../../runs/run/osu/rescale/mercury-2-nodes-56gbps/2018-02-28_09:33:10/osu_alltoall.1.16.out
Using default -machinefile setting (/enc/uprod_xwKwp/hosts)

# OSU MPI All-to-All Personalized Exchange Latency Test v5.4.0
# Size       Avg Latency(us)
1                       7.30
2                       8.15
4                      11.54
8                      10.56
16                      8.89
32                     11.01
64                     11.57
128                    12.46
256                    13.93
512                    19.42
1024                  112.04
2048                  184.19
4096                  357.04
8192                   67.70
16384                1367.04
32768                 312.82
65536                 666.32
131072               2119.74
262144               3884.08
524288              22062.43
1048576             43765.46
