hpchub_mpirun /enc/uprod_xwKwp/work/shared/tests/osu/osu-micro-benchmarks-5.4/mpi/collective/osu_alltoall | tee -a ../../../runs/run/osu/rescale/mercury-2-nodes-56gbps/2018-02-28_09:33:10/osu_alltoall.2.2.out
Using default -machinefile setting (/enc/uprod_xwKwp/hosts)

# OSU MPI All-to-All Personalized Exchange Latency Test v5.4.0
# Size       Avg Latency(us)
1                       1.88
2                       2.20
4                       1.84
8                       1.88
16                      1.86
32                      1.87
64                      2.29
128                     2.12
256                     2.19
512                     2.38
1024                    3.15
2048                    4.16
4096                    5.53
8192                   18.97
16384                  16.01
32768                  29.29
65536                  57.00
131072                107.96
262144                195.18
524288               1234.33
1048576              2434.57
