hpchub_mpirun /enc/uprod_xwKwp/work/shared/tests/osu/osu-micro-benchmarks-5.4/mpi/collective/osu_alltoall | tee -a ../../../runs/run/osu/rescale/mercury-2-nodes-56gbps/2018-02-28_09:33:10/osu_alltoall.2.16.out
Using default -machinefile setting (/enc/uprod_xwKwp/hosts)

# OSU MPI All-to-All Personalized Exchange Latency Test v5.4.0
# Size       Avg Latency(us)
1                      14.59
2                      17.04
4                      16.52
8                      17.11
16                     18.74
32                     24.28
64                     29.72
128                    34.67
256                    50.72
512                    61.20
1024                   99.10
2048                  273.89
4096                  494.76
8192                  646.08
16384                1003.79
32768                2002.43
65536                3810.15
131072               7093.85
262144              13718.62
524288              67398.63
1048576            133857.25
