hpchub_mpirun /enc/uprod_xwKwp/work/shared/tests/osu/osu-micro-benchmarks-5.4/mpi/collective/osu_allreduce | tee -a ../../../runs/run/osu/rescale/mercury-2-nodes-56gbps/2018-02-28_09:33:10/osu_allreduce.2.1.out
Using default -machinefile setting (/enc/uprod_xwKwp/hosts)

# OSU MPI Allreduce Latency Test v5.4.0
# Size       Avg Latency(us)
4                       1.23
8                       1.20
16                      1.21
32                      1.23
64                      1.27
128                     1.28
256                     1.40
512                     1.53
1024                    2.01
2048                    3.02
4096                    3.66
8192                    4.81
16384                   6.83
32768                  11.03
65536                  19.98
131072                 40.34
262144                 83.48
524288                155.96
1048576               488.89
