hpchub_mpirun /enc/uprod_xwKwp/work/shared/tests/osu/osu-micro-benchmarks-5.4/mpi/collective/osu_alltoall | tee -a ../../../runs/run/osu/rescale/mercury-2-nodes-56gbps/2018-02-28_09:33:10/osu_alltoall.1.4.out
Using default -machinefile setting (/enc/uprod_xwKwp/hosts)

# OSU MPI All-to-All Personalized Exchange Latency Test v5.4.0
# Size       Avg Latency(us)
1                       1.94
2                       1.92
4                       2.04
8                       1.98
16                      2.07
32                      2.08
64                      2.07
128                     2.10
256                     2.32
512                     2.59
1024                    3.06
2048                    4.11
4096                    6.26
8192                    9.98
16384                  16.70
32768                  29.54
65536                  57.92
131072                114.46
262144                211.28
524288               1206.95
1048576              2447.72
