hpchub_mpirun /enc/uprod_xwKwp/work/shared/tests/osu/osu-micro-benchmarks-5.4/mpi/collective/osu_allreduce | tee -a ../../../runs/run/osu/rescale/mercury-2-nodes-56gbps/2018-02-28_09:33:10/osu_allreduce.2.4.out
Using default -machinefile setting (/enc/uprod_xwKwp/hosts)

# OSU MPI Allreduce Latency Test v5.4.0
# Size       Avg Latency(us)
4                       2.35
8                       2.48
16                      2.27
32                      2.17
64                      2.23
128                     2.42
256                     2.40
512                     2.62
1024                    2.90
2048                    3.97
4096                    4.84
8192                    9.48
16384                  14.43
32768                  23.90
65536                  42.28
131072                148.32
262144                160.60
524288                322.92
1048576              1905.43
