hpchub_mpirun /home/lenaan/hpchub_benchmark/tests/osu/osu-micro-benchmarks-5.4/mpi/collective/osu_alltoall | tee -a ../../../runs/run/osu/penguin-H30-2-nodes-16-cores/penguin/2018-02-26_22:22:55/osu_alltoall.1.8.out

# OSU MPI All-to-All Personalized Exchange Latency Test v5.4.0
# Size       Avg Latency(us)
1                       5.73
2                       5.38
4                       5.36
8                       5.41
16                      5.57
32                      5.52
64                      6.97
128                     6.74
256                     7.01
512                     7.74
1024                    8.89
2048                   10.80
4096                   19.67
8192                   34.49
16384                  68.73
32768                 113.45
65536                 206.64
131072                389.37
262144                836.87
524288               2225.60
1048576              5267.73
