Element	Step	dT	TimeStamp	Nops
fio-noargs	Start	.003945476	1518707109.537752329	1
fio-read	BW	326.372820756	1518707435.910573085	569
fio-read	Latency.avg	.014143464	1518707435.924716549	5965.93
fio-write	BW	373.544767105	1518707809.469483654	1422
fio-write	Latency.avg	.009474122	1518707809.478957776	2292.45
fio-randread	BW	363.465037466	1518708172.943995242	25.2
fio-randread	Latency.avg	.060176903	1518708173.004172145	153.34
fio-randwrite	BW	362.902864957	1518708535.907037102	1153
fio-randwrite	Latency.avg	.010949078	1518708535.917986180	2397.69
