hpchub_mpirun /enc/uprod_wooKp/work/shared/tests/osu/osu-micro-benchmarks-5.4/mpi/collective/osu_allreduce | tee -a ../../../runs/run/osu/rescale/rescale/2018-02-26_20:24:02/osu_allreduce.2.8.out
WARNING! PPN should be 8 but rescale's mpi implementation doesn't support it!
Using default -machinefile setting (/enc/uprod_wooKp/hosts)

# OSU MPI Allreduce Latency Test v5.4.0
# Size       Avg Latency(us)
4                       5.14
8                       4.66
16                      4.90
32                      5.40
64                      7.02
128                     4.25
256                     4.29
512                     4.48
1024                    5.74
2048                    6.29
4096                    9.27
8192                   20.46
16384                  28.83
32768                  42.63
65536                  70.70
131072                132.09
262144                284.41
524288                476.15
1048576              3194.03
