hpchub_mpirun /home/ismagilov/hpchub_benchmark/tests/osu/osu-micro-benchmarks-5.4/mpi/collective/osu_alltoall | tee -a ../../../runs/run/osu/azure-2-nodes-16-cores/ismagilov@52.168.64.108/2018-02-17_17:55:53/osu_alltoall.2.8.out
mpirun -env I_MPI_FABRICS=shm:dapl -env I_MPI_DAPL_PROVIDER=ofa-v2-ib0 -env I_MPI_DYNAMIC_CONNECTION=0 -env I_MPI_PIN_PROCESSOR_LIST=allcores:map=scatter --hostfile machinefile -n 16 -ppn 8 /home/ismagilov/hpchub_benchmark/tests/osu/osu-micro-benchmarks-5.4/mpi/collective/osu_alltoall

# OSU MPI All-to-All Personalized Exchange Latency Test v5.4.0
# Size       Avg Latency(us)
1                      18.03
2                      17.35
4                      14.44
8                      19.89
16                     18.14
32                     15.87
64                     18.94
128                    27.81
256                    46.70
512                    52.70
1024                   46.40
2048                   96.08
4096                  154.42
8192                  170.34
16384                 352.63
32768                1082.33
65536                1129.65
131072               2744.37
262144               5837.77
524288              11572.13
1048576             22946.56
